Arrival Time   Voting Duration   Start Time    Departure Time
      2.70        23.23             2.70             25.93

      4.56         2.96            25.93             28.88

      6.09         4.97            28.88             33.86

     10.27         3.55            33.86             37.41

     10.50        12.81            37.41             50.22

     15.10        10.58            50.22             60.80

     17.94         4.03            60.80             64.83

     18.23         5.01            64.83             69.84

     18.65         8.48            69.84             78.32

     20.76         9.24            78.32             87.56

     23.49         6.15            87.56             93.71

     25.05         1.05            93.71             94.76

     25.70         0.65            94.76             95.41

     25.98         0.08            95.41             95.49

     26.87         1.46            95.49             96.95

     27.36         1.46            96.95             98.41

     30.38        11.52            98.41            109.93

     32.81        17.92           109.93            127.85

     33.21        11.98           127.85            139.83

     34.35         3.95           139.83            143.78

     34.59        33.46           143.78            177.25

     34.71         2.82           177.25            180.06

     34.94        10.25           180.06            190.31

     35.96         1.70           190.31            192.02

     41.78        11.95           192.02            203.97

     42.03         0.65           203.97            204.62

     45.16         5.28           204.62            209.90

     46.22        16.86           209.90            226.76

     46.32        22.66           226.76            249.42

     46.57        20.22           249.42            269.64

     48.61        23.26           269.64            292.90

     48.69        21.21           292.90            314.11

     51.24         1.04           314.11            315.15

     51.63        11.19           315.15            326.34

     53.05        17.28           326.34            343.62

     54.65         0.51           343.62            344.13

     55.87        17.44           344.13            361.58

     57.72         1.92           361.58            363.50

     58.27         0.63           363.50            364.13

     58.39         2.64           364.13            366.77

     58.60         4.40           366.77            371.17

     59.04        10.19           371.17            381.37

     61.78         4.90           381.37            386.26

     61.93         1.57           386.26            387.84

     63.02         4.49           387.84            392.33

     64.57         7.39           392.33            399.72

     68.04         5.21           399.72            404.94

     68.39         9.30           404.94            414.23

     68.85        23.09           414.23            437.32

     69.02        17.26           437.32            454.59

     69.12         0.75           454.59            455.34

     69.77         5.31           455.34            460.65

     72.18         5.88           460.65            466.53

     72.55        28.25           466.53            494.77

     73.29         2.13           494.77            496.90

     75.28        11.96           496.90            508.87

     75.85        15.62           508.87            524.49

     79.32         0.11           524.49            524.60

     80.75        20.33           524.60            544.93

     80.99         2.45           544.93            547.38

     82.37         2.52           547.38            549.91

     82.77         4.95           549.91            554.85

     83.07        10.68           554.85            565.53

     83.16         0.43           565.53            565.96

     83.34         1.77           565.96            567.73

     87.37        18.61           567.73            586.34

     90.33         5.80           586.34            592.14

     91.52        12.34           592.14            604.48

     91.77         3.05           604.48            607.54

     91.94         0.56           607.54            608.10

     94.77         7.49           608.10            615.59

     95.55         7.29           615.59            622.88

     97.61        29.84           622.88            652.73

     98.16         2.83           652.73            655.56

     98.29         1.77           655.56            657.34

     98.66        16.39           657.34            673.73

    100.93        11.14           673.73            684.87

    104.39         2.74           684.87            687.61

    104.40         3.83           687.61            691.44

    106.22        16.65           691.44            708.08

    107.22         2.46           708.08            710.54

    107.59        50.63           710.54            761.17

    107.81        16.37           761.17            777.54

    110.54         9.10           777.54            786.64

    111.84         3.13           786.64            789.77

    114.10        17.55           789.77            807.32

    114.48         2.93           807.32            810.24

    115.22         2.83           810.24            813.07

    116.57        10.19           813.07            823.26

    117.92         3.45           823.26            826.71

    119.38         7.50           826.71            834.21

    119.91         6.69           834.21            840.90

    122.06        17.51           840.90            858.41

    126.04        16.26           858.41            874.67

    126.15         8.25           874.67            882.92

    130.03         4.22           882.92            887.14

    131.40         6.94           887.14            894.09

    131.99         8.32           894.09            902.41

    135.09         0.35           902.41            902.76

    136.49         9.03           902.76            911.79

    137.06         2.48           911.79            914.28

    138.22        27.98           914.28            942.26

    139.31         2.27           942.26            944.54

    139.87         6.65           944.54            951.19

    140.01         8.82           951.19            960.01

